
2023/04/21 (15:46:25) | ===> btop++ v.1.2.13
2023/04/21 (15:46:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/21 (19:20:47) | ===> btop++ v.1.2.13
2023/04/21 (19:20:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/22 (03:47:08) | ===> btop++ v.1.2.13
2023/04/22 (03:47:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/22 (03:53:16) | ===> btop++ v.1.2.13
2023/04/22 (03:53:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/22 (04:13:44) | ===> btop++ v.1.2.13
2023/04/22 (04:13:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
